Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation
Iraq,5204520000,306877446.4,818458368.9,4079184185,3163847117
Ireland,152500000,2153546.65,0,150346453.4,0
Israel,284500000,701448.93,0,283798551.1,0.01
Italy,399628000,1600000,0,398028000,-0.01
Jamaica,3030100000,146555253.3,77540076.08,2806004671,1009064717
Japan,862900000,5858996.19,0,857041003.8,0
Jordan,9515200000,859190391.3,1774301134,6881708475,4185763298
Kazakhstan,9086012440,2058317045,455447923.8,7514959251,3457980096
Kenya,2486214900,270343573.4,135198818.8,2070688921,1082919881
"Korea, Republic of",15647000000,728538693.2,0,14918461307,-0.01
Kosovo,385645134,0,0,385645134,104339819.6
Latvia,984615000,71408458.64,0,887526526.1,0
Lebanon,3750330000,1336819174,780525348.2,1962885478,853820903.9
Lesotho,155000000,65649284.26,0,89350715.74,0
Liberia,155950000,14693264.56,0,141256735.4,-0.02
Lithuania,490790000,94745349.13,-0.01,404108184.1,0
Luxembourg,12000000,238016.98,0,11761983.02,0
Madagascar,32850000,279119.93,0,32570880.07,0
Malawi,124100000,19583574.31,0,104516425.7,0
Malaysia,4150620000,894720698.7,0,3255899301,0.02
Malta,7500000,1459920.43,0,6040079.57,0
Mauritania,146000000,0,0,146000000,0.01
Mauritius,842530000,131873527.8,0.02,719685767.5,118961899.5
Mexico,60570150465,7603604019,890963055.6,52830931354,14995434689
Moldova,783680000,94516865.09,207131488.2,506321358.7,256905234.2
Mongolia,233800000,0,198073891.4,35726108.62,35726108.62
Montenegro,832443054.6,88503460.34,248370738.6,459675290.7,192843451.9
Morocco,25159314000,1779312192,3775575803,19249764178,9319698401
Mozambique,30000000,30000000,0,0,0
Myanmar,33350000,226056.18,0,33123943.82,0.01
Namibia,15000000,0,0,15074534.82,0
Netherlands,244000000,7548015.28,0,236451984.7,0
New Zealand,126800000,25254120.91,0,101545879.1,0
Nicaragua,233550000,3944969.78,0,229605030.2,0
Nigeria,7942200000,1164590458,1122057011,5805552531,488189833
North Macedonia,2354280124,448490778.8,224428341.9,1638380852,627803001.8
Norway,145000000,0,0,145000000,0
Oman,157050000,14739777.51,0,142310222.5,0
Pakistan,13588650000,1610572049,2975853193,9006969601,2397292263
Panama,4178090000,443358836.5,272824107.3,3461907056,1667727359
Papua New Guinea,866620000,70563079.67,79925000,716131920.3,75000.02
Paraguay,2617971000,145649097.6,406397052.7,2065924850,1115661648
Peru,16696289000,2607759063,613414051.3,13475115885,5445590141
Philippines,28483577115,2703489070,3532386265,22278247890,11642970125
Poland,16450600000,1205598967,305553703.8,14943404714,6036895528
Portugal,1338800000,365155999.8,0,973628417.8,0
Romania,17003550000,1035406997,2319294909,13499585020,4568877609
Russian Federation,14451100000,3981746497,0,10469215928,-0.01
Senegal,162950000,33624524.04,0,129325476,0
Serbia,7560279508,1009740734,751568546.8,5598821220,2417000971
Seychelles,181700000,195885.31,22370407.11,159172852.2,139959836
Sierra Leone,18700000,0,0,18700000,0
Singapore,181300000,1946755.45,0,179353244.6,-0.02
Slovak Republic,574520000,27735951.13,-0.01,596975665.3,0
Slovenia,371845701.1,66852188.75,0,299278073.7,0
South Africa,5815300000,697911892.1,507157666.5,4584096756,2578549642
Southern Africa,87700000,0,0,87700000,0.01
Spain,478700000,62396194.65,0,416303805.4,0.03
Sri Lanka,1856710000,361134464.6,331316798.9,1189258736,967603495.1
St. Kitts and Nevis,27319322,3118387.99,0,24200934.01,0
St. Lucia,40146161,2292682.44,0,37853478.56,2640000.01
St. Vincent and the Grenadines,14642161,4943783.71,0,9698377.29,0.02
Sudan,166000000,27014050.6,0,138985949.4,0.01
Suriname,58000000,0,44174412.08,13825587.92,13825587.92
Syrian Arab Republic,613200000,194580424,0,418619576,0
"Taiwan, China",329400000,19614824.25,0,309785175.8,-0.03
Tanzania,361030400,5477944.02,0,355552456,0
Thailand,9453140000,1301035953,0,8151817580,583000000
Timor-Leste,15000000,46317.37,0,14953682.63,13809071.17
Togo,3500000,0,0,3500000,0
Trinidad and Tobago,353600000,45778820.54,7864150.03,299957029.4,12135849.98
Tunisia,12238530000,759536946.4,1192752652,10225016726,4218616029
Turkiye,50915196500,4733750747,8429268064,37377128181,11236467248
Turkmenistan,109500000,51600566.1,0,57899433.9,20000000
Uganda,43199700,277411.36,0,42922288.63,0
Ukraine,19996898577,2096465893,2007672818,15812993356,10077737094
Uruguay,4904860000,792990745.6,61051257.91,4141870733,1325765395
Uzbekistan,4276530000,425553063.4,656085715.9,3204888221,2635904433
"Venezuela, Republica Bolivariana de",3328400000,762163399.4,0,2566346997,0
Vietnam,3587390000,709157426.3,512850477.1,2465382097,2191075235
Western and Central Africa,93600000,2332957.38,0,91267042.62,0
"Yugoslavia, former",1625943611,1054542236,0,571401374.9,-0.01
Zambia,635350000,53220016.22,0,582129983.8,0.01
Zimbabwe,939300000,53297024.84,0,886002975.2,426437377.3
